======================================================================
🚀 로컬 D1 → Production D1 동기화
======================================================================

📖 로컬 D1에서 데이터 읽는 중...
   총 18,646개 시설 발견
✅ 18,646개 시설 로드 완료

======================================================================
📤 Production D1에 업로드 중...
======================================================================

   총 187개 배치 (18,646개 시설)
   배치 크기: 100개

   [  1/187]   100/18,646 (  0.5%) ✅
   [  2/187]   200/18,646 (  1.1%) ✅
   [  3/187]   300/18,646 (  1.6%) ✅
   [  4/187]   400/18,646 (  2.1%) ✅
   [  5/187]   500/18,646 (  2.7%) ✅
   [  6/187]   600/18,646 (  3.2%) ✅
   [  7/187]   700/18,646 (  3.8%) ✅
   [  8/187]   800/18,646 (  4.3%) ✅
   [  9/187]   900/18,646 (  4.8%) ✅
   [158/187] 15,800/18,646 ( 84.7%) ✅
   [159/187] 15,900/18,646 ( 85.3%) ✅
   [160/187] 16,000/18,646 ( 85.8%) ✅
   [161/187] 16,100/18,646 ( 86.3%) ✅
   [162/187] 16,200/18,646 ( 86.9%) ✅
   [163/187] 16,300/18,646 ( 87.4%) ✅
   [164/187] 16,400/18,646 ( 88.0%) ✅
   [165/187] 16,500/18,646 ( 88.5%) ✅
   [166/187] 16,600/18,646 ( 89.0%) ✅
   [167/187] 16,700/18,646 ( 89.6%) ✅
   [168/187] 16,800/18,646 ( 90.1%) ✅
   [169/187] 16,900/18,646 ( 90.6%) ✅
   [170/187] 17,000/18,646 ( 91.2%) ✅
   [171/187] 17,100/18,646 ( 91.7%) ✅
   [172/187] 17,200/18,646 ( 92.2%) ✅
   [173/187] 17,300/18,646 ( 92.8%) ✅
   [174/187] 17,400/18,646 ( 93.3%) ✅
   [175/187] 17,500/18,646 ( 93.9%) ✅
   [176/187] 17,600/18,646 ( 94.4%) ✅
   [177/187] 17,700/18,646 ( 94.9%) ✅
   [178/187] 17,800/18,646 ( 95.5%) ✅
   [179/187] 17,900/18,646 ( 96.0%) ✅
   [180/187] 18,000/18,646 ( 96.5%) ✅
   [181/187] 18,100/18,646 ( 97.1%) ✅
   [182/187] 18,200/18,646 ( 97.6%) ✅
   [183/187] 18,300/18,646 ( 98.1%) ✅
   [184/187] 18,400/18,646 ( 98.7%) ✅
   [185/187] 18,500/18,646 ( 99.2%) ✅
   [186/187] 18,600/18,646 ( 99.8%) ✅
   [187/187] 18,646/18,646 (100.0%) ✅

======================================================================
✅ 동기화 완료!
======================================================================
   성공: 18,646개
   실패: 0개
   전체: 18,646개
   성공률: 100.0%

